1	bathroom	bathroom	1
1	hallway	hallway	4
1	hallway	hallway	4
1	office	office	11
1	bathroom	bathroom	8
2	bathroom	bathroom	2
2	bathroom	bathroom	2
2	bathroom	bathroom	2
2	office	office	8
2	hallway	hallway	11
3	bathroom	bathroom	2
3	bedroom	bedroom	1
3	bathroom	bathroom	7
3	bathroom	bathroom	7
3	bedroom	bedroom	10
4	bedroom	bedroom	2
4	kitchen	kitchen	5
4	hallway	hallway	8
4	hallway	hallway	8
4	hallway	hallway	14
5	bathroom	bathroom	2
5	garden	garden	1
5	kitchen	kitchen	5
5	hallway	hallway	7
5	office	office	13
6	bathroom	bathroom	2
6	bedroom	bedroom	5
6	garden	garden	8
6	hallway	hallway	10
6	garden	garden	8
7	hallway	hallway	2
7	kitchen	kitchen	5
7	bathroom	bathroom	7
7	kitchen	kitchen	11
7	garden	garden	14
8	kitchen	kitchen	1
8	bedroom	bedroom	2
8	bedroom	bedroom	8
8	kitchen	kitchen	7
8	kitchen	kitchen	14
9	office	office	2
9	office	office	5
9	office	office	5
9	kitchen	kitchen	8
9	hallway	hallway	11
10	bedroom	bedroom	2
10	bedroom	bedroom	2
10	kitchen	kitchen	8
10	bathroom	bathroom	11
10	kitchen	kitchen	10
11	garden	garden	2
11	office	office	5
11	office	office	5
11	office	office	8
11	office	office	8
12	office	office	1
12	hallway	hallway	5
12	hallway	hallway	4
12	office	office	11
12	hallway	hallway	10
13	hallway	hallway	2
13	bathroom	bathroom	4
13	bedroom	bedroom	5
13	bedroom	bedroom	5
13	kitchen	kitchen	13
14	kitchen	kitchen	1
14	bathroom	bathroom	5
14	garden	garden	4
14	kitchen	kitchen	10
14	bathroom	bathroom	14
15	garden	garden	2
15	office	office	5
15	bathroom	bathroom	7
15	hallway	hallway	11
15	office	office	13
16	garden	garden	1
16	hallway	hallway	5
16	kitchen	kitchen	7
16	bedroom	bedroom	8
16	bedroom	bedroom	13
17	office	office	2
17	bathroom	bathroom	4
17	hallway	hallway	8
17	bathroom	bathroom	10
17	kitchen	kitchen	11
18	office	office	1
18	office	office	5
18	office	office	5
18	hallway	hallway	8
18	kitchen	kitchen	13
19	bathroom	bathroom	1
19	bathroom	bathroom	1
19	kitchen	kitchen	7
19	kitchen	kitchen	11
19	hallway	hallway	14
20	bathroom	bathroom	2
20	bedroom	bedroom	5
20	bedroom	bedroom	5
20	garden	garden	11
20	kitchen	kitchen	14
21	garden	garden	1
21	kitchen	kitchen	5
21	kitchen	kitchen	8
21	hallway	hallway	10
21	hallway	hallway	10
22	garden	garden	2
22	bathroom	bathroom	4
22	bedroom	bedroom	8
22	garden	garden	7
22	bedroom	bedroom	14
23	garden	garden	2
23	garden	garden	2
23	bedroom	bedroom	7
23	kitchen	kitchen	10
23	bathroom	bathroom	13
24	hallway	hallway	1
24	hallway	hallway	5
24	garden	garden	8
24	office	office	11
24	office	office	11
25	hallway	hallway	1
25	kitchen	kitchen	5
25	bedroom	bedroom	8
25	bedroom	bedroom	11
25	bedroom	bedroom	11
26	kitchen	kitchen	1
26	bathroom	bathroom	5
26	bathroom	bathroom	7
26	kitchen	kitchen	10
26	kitchen	kitchen	13
27	bathroom	bathroom	2
27	hallway	hallway	5
27	bathroom	bathroom	2
27	hallway	hallway	10
27	hallway	hallway	13
28	bedroom	bedroom	1
28	garden	garden	5
28	garden	garden	8
28	garden	garden	10
28	bathroom	bathroom	14
29	garden	garden	2
29	bathroom	bathroom	5
29	garden	garden	2
29	bathroom	bathroom	11
29	kitchen	kitchen	13
30	office	office	1
30	bathroom	bathroom	4
30	kitchen	kitchen	8
30	office	office	11
30	office	office	11
31	hallway	hallway	1
31	hallway	hallway	4
31	kitchen	kitchen	8
31	kitchen	kitchen	8
31	office	office	14
32	bathroom	bathroom	1
32	kitchen	kitchen	4
32	kitchen	kitchen	4
32	bathroom	bathroom	11
32	office	office	10
33	bedroom	bedroom	1
33	bathroom	bathroom	5
33	kitchen	kitchen	7
33	bathroom	bathroom	11
33	office	office	10
34	bedroom	bedroom	2
34	garden	garden	1
34	bathroom	bathroom	5
34	kitchen	kitchen	10
34	bathroom	bathroom	11
35	bathroom	bathroom	2
35	bathroom	bathroom	5
35	office	office	8
35	hallway	hallway	10
35	garden	garden	11
36	hallway	hallway	2
36	hallway	hallway	2
36	bathroom	bathroom	4
36	bathroom	bathroom	11
36	bedroom	bedroom	14
37	kitchen	kitchen	2
37	kitchen	kitchen	2
37	bedroom	bedroom	8
37	bedroom	bedroom	8
37	bedroom	bedroom	14
38	bedroom	bedroom	2
38	office	office	5
38	garden	garden	8
38	kitchen	kitchen	11
38	garden	garden	8
39	bathroom	bathroom	1
39	office	office	4
39	kitchen	kitchen	8
39	bedroom	bedroom	11
39	garden	garden	14
40	garden	garden	2
40	bedroom	bedroom	4
40	garden	garden	2
40	bathroom	bathroom	10
40	kitchen	kitchen	14
41	garden	garden	2
41	garden	garden	2
41	hallway	hallway	8
41	office	office	10
41	garden	garden	13
42	kitchen	kitchen	2
42	bathroom	bathroom	5
42	kitchen	kitchen	2
42	garden	garden	10
42	kitchen	kitchen	13
43	garden	garden	1
43	office	office	4
43	bathroom	bathroom	8
43	office	office	10
43	office	office	13
44	bedroom	bedroom	2
44	bathroom	bathroom	5
44	bedroom	bedroom	7
44	office	office	11
